folio,texto,fecha_presentacion,score_presentacion,agenda_presentacion_id,punto_presentacion_id,num_ramas_nivel1,via,expediente_id,punto_destino_id,tipo_evento_real,fecha_real_destino,fecha_evento_excel,status_destino,cierre_encontrado,fecha_cierre_real,fecha_aprobacion_excel,estado_excel,confianza
888,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
889,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
890,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
891,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
892,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
893,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
894,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
895,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
896,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
897,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
898,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
899,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
900,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
